# Renewables.ninja Solar photovoltaic power (PV) (Point API) - -32.580, 26.559 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Africa/Johannesburg, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC
# {"units": {"time": "UTC", "local_time": "Africa/Johannesburg", "electricity": "kW", "irradiance_direct": "unknown", "irradiance_diffuse": "unknown", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "-32.58044469633279", "lon": "26.559067500974685", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2019-01-01 00:00,2019-01-01 02:00,0,0,0,23.335
2019-01-01 01:00,2019-01-01 03:00,0,0,0,23.667
2019-01-01 02:00,2019-01-01 04:00,0,0,0,23.941
2019-01-01 03:00,2019-01-01 05:00,0.011,0,0.025,23.936
2019-01-01 04:00,2019-01-01 06:00,0.086,0.014,0.102,25.727
2019-01-01 05:00,2019-01-01 07:00,0.239,0.149,0.146,28.405
2019-01-01 06:00,2019-01-01 08:00,0.381,0.283,0.193,30.358
2019-01-01 07:00,2019-01-01 09:00,0.486,0.381,0.241,32.097
2019-01-01 08:00,2019-01-01 10:00,0.551,0.448,0.275,33.804
2019-01-01 09:00,2019-01-01 11:00,0.641,0.630,0.243,35.741
2019-01-01 10:00,2019-01-01 12:00,0.629,0.584,0.274,36.705
2019-01-01 11:00,2019-01-01 13:00,0.465,0.225,0.379,35.387
2019-01-01 12:00,2019-01-01 14:00,0.372,0.113,0.357,32.980
2019-01-01 13:00,2019-01-01 15:00,0.269,0.052,0.283,29.780
2019-01-01 14:00,2019-01-01 16:00,0.218,0.042,0.226,26.597
2019-01-01 15:00,2019-01-01 17:00,0.139,0.021,0.154,23.651
2019-01-01 16:00,2019-01-01 18:00,0.028,0,0.046,21.008
2019-01-01 17:00,2019-01-01 19:00,0,0,0.001,18.993
2019-01-01 18:00,2019-01-01 20:00,0,0,0,17.600
2019-01-01 19:00,2019-01-01 21:00,0,0,0,16.443
2019-01-01 20:00,2019-01-01 22:00,0,0,0,15.454
2019-01-01 21:00,2019-01-01 23:00,0,0,0,14.827
2019-01-01 22:00,2019-01-02 00:00,0,0,0,14.500
2019-01-01 23:00,2019-01-02 01:00,0,0,0,14.250
2019-01-02 00:00,2019-01-02 02:00,0,0,0,14.031
2019-01-02 01:00,2019-01-02 03:00,0,0,0,13.825
2019-01-02 02:00,2019-01-02 04:00,0,0,0,13.738
2019-01-02 03:00,2019-01-02 05:00,0.006,0,0.017,13.830
2019-01-02 04:00,2019-01-02 06:00,0.070,0.001,0.091,14.404
2019-01-02 05:00,2019-01-02 07:00,0.157,0.013,0.174,15.218
2019-01-02 06:00,2019-01-02 08:00,0.287,0.052,0.281,16.447
2019-01-02 07:00,2019-01-02 09:00,0.380,0.091,0.354,17.592
2019-01-02 08:00,2019-01-02 10:00,0.430,0.106,0.401,18.241
2019-01-02 09:00,2019-01-02 11:00,0.462,0.116,0.431,18.370
2019-01-02 10:00,2019-01-02 12:00,0.469,0.117,0.439,18.068
2019-01-02 11:00,2019-01-02 13:00,0.427,0.089,0.412,17.495
2019-01-02 12:00,2019-01-02 14:00,0.356,0.057,0.358,16.764
2019-01-02 13:00,2019-01-02 15:00,0.272,0.031,0.284,15.856
2019-01-02 14:00,2019-01-02 16:00,0.175,0.013,0.194,14.823
2019-01-02 15:00,2019-01-02 17:00,0.093,0.004,0.114,13.816
2019-01-02 16:00,2019-01-02 18:00,0.017,0,0.031,12.762
2019-01-02 17:00,2019-01-02 19:00,0,0,0.001,11.918
2019-01-02 18:00,2019-01-02 20:00,0,0,0,11.464
2019-01-02 19:00,2019-01-02 21:00,0,0,0,11.226
2019-01-02 20:00,2019-01-02 22:00,0,0,0,11.102
2019-01-02 21:00,2019-01-02 23:00,0,0,0,11.081
2019-01-02 22:00,2019-01-03 00:00,0,0,0,11.029
2019-01-02 23:00,2019-01-03 01:00,0,0,0,10.981
2019-01-03 00:00,2019-01-03 02:00,0,0,0,10.928
2019-01-03 01:00,2019-01-03 03:00,0,0,0,10.916
2019-01-03 02:00,2019-01-03 04:00,0,0,0,10.906
2019-01-03 03:00,2019-01-03 05:00,0.010,0,0.021,10.965
2019-01-03 04:00,2019-01-03 06:00,0.083,0.003,0.103,11.871
2019-01-03 05:00,2019-01-03 07:00,0.199,0.043,0.189,13.394
2019-01-03 06:00,2019-01-03 08:00,0.313,0.100,0.261,15.351
2019-01-03 07:00,2019-01-03 09:00,0.429,0.189,0.316,17.655
2019-01-03 08:00,2019-01-03 10:00,0.484,0.226,0.355,19.942
2019-01-03 09:00,2019-01-03 11:00,0.563,0.348,0.347,22.433
2019-01-03 10:00,2019-01-03 12:00,0.679,0.630,0.246,25.337
2019-01-03 11:00,2019-01-03 13:00,0.658,0.639,0.216,27.298
2019-01-03 12:00,2019-01-03 14:00,0.565,0.498,0.220,27.909
2019-01-03 13:00,2019-01-03 15:00,0.452,0.355,0.206,27.492
2019-01-03 14:00,2019-01-03 16:00,0.303,0.188,0.181,26.105
2019-01-03 15:00,2019-01-03 17:00,0.166,0.094,0.112,24.349
2019-01-03 16:00,2019-01-03 18:00,0.040,0,0.061,21.842
2019-01-03 17:00,2019-01-03 19:00,0,0,0.003,18.913
2019-01-03 18:00,2019-01-03 20:00,0,0,0,17.096
2019-01-03 19:00,2019-01-03 21:00,0,0,0,16.026
2019-01-03 20:00,2019-01-03 22:00,0,0,0,15.316
2019-01-03 21:00,2019-01-03 23:00,0,0,0,14.802
2019-01-03 22:00,2019-01-04 00:00,0,0,0,14.263
2019-01-03 23:00,2019-01-04 01:00,0,0,0,13.862
2019-01-04 00:00,2019-01-04 02:00,0,0,0,13.537
2019-01-04 01:00,2019-01-04 03:00,0,0,0,13.134
2019-01-04 02:00,2019-01-04 04:00,0,0,0,12.830
2019-01-04 03:00,2019-01-04 05:00,0.010,0,0.022,13.473
2019-01-04 04:00,2019-01-04 06:00,0.061,0.021,0.062,16.373
2019-01-04 05:00,2019-01-04 07:00,0.268,0.250,0.068,20.250
2019-01-04 06:00,2019-01-04 08:00,0.461,0.486,0.078,24.764
2019-01-04 07:00,2019-01-04 09:00,0.607,0.693,0.089,28.038
2019-01-04 08:00,2019-01-04 10:00,0.704,0.850,0.096,30.506
2019-01-04 09:00,2019-01-04 11:00,0.753,0.939,0.101,32.317
2019-01-04 10:00,2019-01-04 12:00,0.756,0.950,0.104,33.635
2019-01-04 11:00,2019-01-04 13:00,0.719,0.893,0.102,34.417
2019-01-04 12:00,2019-01-04 14:00,0.639,0.765,0.098,34.573
2019-01-04 13:00,2019-01-04 15:00,0.515,0.579,0.091,33.944
2019-01-04 14:00,2019-01-04 16:00,0.341,0.341,0.088,32.349
2019-01-04 15:00,2019-01-04 17:00,0.156,0.126,0.074,30.108
2019-01-04 16:00,2019-01-04 18:00,0.029,0,0.048,27.045
2019-01-04 17:00,2019-01-04 19:00,0,0,0.002,23.056
2019-01-04 18:00,2019-01-04 20:00,0,0,0,21.035
2019-01-04 19:00,2019-01-04 21:00,0,0,0,19.785
2019-01-04 20:00,2019-01-04 22:00,0,0,0,18.501
2019-01-04 21:00,2019-01-04 23:00,0,0,0,17.482
2019-01-04 22:00,2019-01-05 00:00,0,0,0,16.549
2019-01-04 23:00,2019-01-05 01:00,0,0,0,15.489
2019-01-05 00:00,2019-01-05 02:00,0,0,0,14.884
2019-01-05 01:00,2019-01-05 03:00,0,0,0,14.195
2019-01-05 02:00,2019-01-05 04:00,0,0,0,13.575
2019-01-05 03:00,2019-01-05 05:00,0.011,0,0.023,13.514
2019-01-05 04:00,2019-01-05 06:00,0.075,0.014,0.083,14.949
2019-01-05 05:00,2019-01-05 07:00,0.219,0.113,0.144,16.825
2019-01-05 06:00,2019-01-05 08:00,0.475,0.477,0.091,19.721
2019-01-05 07:00,2019-01-05 09:00,0.609,0.651,0.107,22.253
2019-01-05 08:00,2019-01-05 10:00,0.677,0.724,0.142,23.822
2019-01-05 09:00,2019-01-05 11:00,0.659,0.635,0.207,24.576
2019-01-05 10:00,2019-01-05 12:00,0.664,0.641,0.212,25.335
2019-01-05 11:00,2019-01-05 13:00,0.706,0.783,0.143,26.524
2019-01-05 12:00,2019-01-05 14:00,0.659,0.745,0.109,27.143
2019-01-05 13:00,2019-01-05 15:00,0.541,0.588,0.092,26.819
2019-01-05 14:00,2019-01-05 16:00,0.368,0.366,0.082,25.467
2019-01-05 15:00,2019-01-05 17:00,0.165,0.126,0.078,23.158
2019-01-05 16:00,2019-01-05 18:00,0.036,0,0.056,19.981
2019-01-05 17:00,2019-01-05 19:00,0,0,0.002,16.951
2019-01-05 18:00,2019-01-05 20:00,0,0,0,15.405
2019-01-05 19:00,2019-01-05 21:00,0,0,0,14.700
2019-01-05 20:00,2019-01-05 22:00,0,0,0,14.352
2019-01-05 21:00,2019-01-05 23:00,0,0,0,13.999
2019-01-05 22:00,2019-01-06 00:00,0,0,0,13.519
2019-01-05 23:00,2019-01-06 01:00,0,0,0,13.135
2019-01-06 00:00,2019-01-06 02:00,0,0,0,12.818
