# Renewables.ninja Weather (Point API) - -32.584, 26.601 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Africa/Johannesburg, t2m in ºC, prectotland in mm/h, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "Africa/Johannesburg", "t2m": "\u00baC", "prectotland": "mm/h", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"local_time": true, "header": true, "lat": "-32.58408641596155", "lon": "26.60120807735355", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": true, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": true, "var_swtdn": true, "var_cldtot": true}}
time,local_time,t2m,prectotland,swgdn,swtdn,cldtot
2019-01-01 00:00,2019-01-01 02:00,23.261,0,0,0,0.464
2019-01-01 01:00,2019-01-01 03:00,23.573,0,0,0,0.511
2019-01-01 02:00,2019-01-01 04:00,23.875,0,0,0,0.506
2019-01-01 03:00,2019-01-01 05:00,23.923,0,31.914,95.683,0.367
2019-01-01 04:00,2019-01-01 06:00,25.722,0,202.016,374.962,0.194
2019-01-01 05:00,2019-01-01 07:00,28.469,0,401.784,653.158,0.217
2019-01-01 06:00,2019-01-01 08:00,30.447,0.002,568.229,907.087,0.307
2019-01-01 07:00,2019-01-01 09:00,32.144,0.009,697.638,1119.411,0.430
2019-01-01 08:00,2019-01-01 10:00,33.762,0.036,776.648,1275.838,0.425
2019-01-01 09:00,2019-01-01 11:00,35.652,0.053,916.816,1365.335,0.315
2019-01-01 10:00,2019-01-01 12:00,36.711,0.116,920.418,1382.102,0.427
2019-01-01 11:00,2019-01-01 13:00,35.358,0.302,639.967,1325.000,0.615
2019-01-01 12:00,2019-01-01 14:00,32.929,0.631,498.599,1197.898,0.764
2019-01-01 13:00,2019-01-01 15:00,29.768,1.045,358.857,1009.216,0.771
2019-01-01 14:00,2019-01-01 16:00,26.575,1.800,294.451,772.078,0.745
2019-01-01 15:00,2019-01-01 17:00,23.610,2.365,209.525,502.451,0.808
2019-01-01 16:00,2019-01-01 18:00,20.946,1.707,51.632,218.864,0.737
2019-01-01 17:00,2019-01-01 19:00,18.952,1.295,1.512,10.825,0.692
2019-01-01 18:00,2019-01-01 20:00,17.590,1.292,0,0,0.693
2019-01-01 19:00,2019-01-01 21:00,16.461,0.754,0,0,0.636
2019-01-01 20:00,2019-01-01 22:00,15.494,0.292,0,0,0.521
2019-01-01 21:00,2019-01-01 23:00,14.877,0.089,0,0,0.410
