# Renewables.ninja Wind power (Point API) - -32.584, 26.601 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Africa/Johannesburg, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "Africa/Johannesburg", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": true, "header": true, "lat": "-32.58408641596155", "lon": "26.60120807735355", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1", "height": "80", "turbine": "Vestas V29 225", "raw": true}}
time,local_time,electricity,wind_speed
2019-01-01 00:00,2019-01-01 02:00,0.367,7.449
2019-01-01 01:00,2019-01-01 03:00,0.549,8.857
2019-01-01 02:00,2019-01-01 04:00,0.704,10.175
2019-01-01 03:00,2019-01-01 05:00,0.682,9.961
2019-01-01 04:00,2019-01-01 06:00,0.500,8.478
2019-01-01 05:00,2019-01-01 07:00,0.665,9.818
2019-01-01 06:00,2019-01-01 08:00,0.625,9.462
2019-01-01 07:00,2019-01-01 09:00,0.511,8.559
2019-01-01 08:00,2019-01-01 10:00,0.370,7.475
2019-01-01 09:00,2019-01-01 11:00,0.278,6.711
2019-01-01 10:00,2019-01-01 12:00,0.245,6.417
2019-01-01 11:00,2019-01-01 13:00,0.182,5.804
2019-01-01 12:00,2019-01-01 14:00,0.174,5.710
2019-01-01 13:00,2019-01-01 15:00,0.284,6.772
2019-01-01 14:00,2019-01-01 16:00,0.370,7.475
2019-01-01 15:00,2019-01-01 17:00,0.345,7.272
2019-01-01 16:00,2019-01-01 18:00,0.295,6.852
2019-01-01 17:00,2019-01-01 19:00,0.257,6.534
2019-01-01 18:00,2019-01-01 20:00,0.247,6.434
2019-01-01 19:00,2019-01-01 21:00,0.232,6.306
2019-01-01 20:00,2019-01-01 22:00,0.165,5.622
2019-01-01 21:00,2019-01-01 23:00,0.122,5.115
2019-01-01 22:00,2019-01-02 00:00,0.162,5.584
2019-01-01 23:00,2019-01-02 01:00,0.235,6.327
2019-01-02 00:00,2019-01-02 02:00,0.240,6.375
2019-01-02 01:00,2019-01-02 03:00,0.226,6.236
2019-01-02 02:00,2019-01-02 04:00,0.226,6.244
2019-01-02 03:00,2019-01-02 05:00,0.248,6.446
2019-01-02 04:00,2019-01-02 06:00,0.376,7.511
2019-01-02 05:00,2019-01-02 07:00,0.375,7.508
2019-01-02 06:00,2019-01-02 08:00,0.339,7.223
2019-01-02 07:00,2019-01-02 09:00,0.315,7.033
2019-01-02 08:00,2019-01-02 10:00,0.289,6.811
2019-01-02 09:00,2019-01-02 11:00,0.299,6.900
2019-01-02 10:00,2019-01-02 12:00,0.331,7.160
2019-01-02 11:00,2019-01-02 13:00,0.340,7.230
2019-01-02 12:00,2019-01-02 14:00,0.359,7.385
2019-01-02 13:00,2019-01-02 15:00,0.381,7.562
2019-01-02 14:00,2019-01-02 16:00,0.393,7.643
2019-01-02 15:00,2019-01-02 17:00,0.369,7.463
2019-01-02 16:00,2019-01-02 18:00,0.342,7.246
2019-01-02 17:00,2019-01-02 19:00,0.320,7.069
2019-01-02 18:00,2019-01-02 20:00,0.308,6.975
2019-01-02 19:00,2019-01-02 21:00,0.295,6.860
2019-01-02 20:00,2019-01-02 22:00,0.268,6.619
2019-01-02 21:00,2019-01-02 23:00,0.238,6.362
2019-01-02 22:00,2019-01-03 00:00,0.206,6.049
2019-01-02 23:00,2019-01-03 01:00,0.194,5.931
2019-01-03 00:00,2019-01-03 02:00,0.206,6.047
2019-01-03 01:00,2019-01-03 03:00,0.258,6.540
2019-01-03 02:00,2019-01-03 04:00,0.250,6.460
2019-01-03 03:00,2019-01-03 05:00,0.240,6.371
2019-01-03 04:00,2019-01-03 06:00,0.446,8.064
2019-01-03 05:00,2019-01-03 07:00,0.532,8.711
2019-01-03 06:00,2019-01-03 08:00,0.452,8.099
2019-01-03 07:00,2019-01-03 09:00,0.295,6.856
2019-01-03 08:00,2019-01-03 10:00,0.146,5.410
2019-01-03 09:00,2019-01-03 11:00,0.054,4.048
2019-01-03 10:00,2019-01-03 12:00,0.021,3.223
2019-01-03 11:00,2019-01-03 13:00,0.020,3.171
2019-01-03 12:00,2019-01-03 14:00,0.054,4.039
2019-01-03 13:00,2019-01-03 15:00,0.182,5.807
2019-01-03 14:00,2019-01-03 16:00,0.331,7.150
2019-01-03 15:00,2019-01-03 17:00,0.415,7.823
2019-01-03 16:00,2019-01-03 18:00,0.429,7.931
2019-01-03 17:00,2019-01-03 19:00,0.350,7.312
2019-01-03 18:00,2019-01-03 20:00,0.253,6.497
2019-01-03 19:00,2019-01-03 21:00,0.200,5.986
2019-01-03 20:00,2019-01-03 22:00,0.178,5.762
2019-01-03 21:00,2019-01-03 23:00,0.139,5.312
2019-01-03 22:00,2019-01-04 00:00,0.091,4.674
2019-01-03 23:00,2019-01-04 01:00,0.068,4.295
2019-01-04 00:00,2019-01-04 02:00,0.062,4.192
2019-01-04 01:00,2019-01-04 03:00,0.064,4.242
2019-01-04 02:00,2019-01-04 04:00,0.074,4.408
2019-01-04 03:00,2019-01-04 05:00,0.083,4.555
2019-01-04 04:00,2019-01-04 06:00,0.035,3.627
2019-01-04 05:00,2019-01-04 07:00,0.012,2.840
2019-01-04 06:00,2019-01-04 08:00,0.022,3.238
2019-01-04 07:00,2019-01-04 09:00,0.059,4.129
2019-01-04 08:00,2019-01-04 10:00,0.123,5.117
2019-01-04 09:00,2019-01-04 11:00,0.184,5.825
2019-01-04 10:00,2019-01-04 12:00,0.231,6.293
2019-01-04 11:00,2019-01-04 13:00,0.265,6.598
2019-01-04 12:00,2019-01-04 14:00,0.305,6.948
2019-01-04 13:00,2019-01-04 15:00,0.379,7.534
2019-01-04 14:00,2019-01-04 16:00,0.429,7.932
2019-01-04 15:00,2019-01-04 17:00,0.430,7.940
2019-01-04 16:00,2019-01-04 18:00,0.381,7.557
2019-01-04 17:00,2019-01-04 19:00,0.270,6.645
2019-01-04 18:00,2019-01-04 20:00,0.113,4.988
2019-01-04 19:00,2019-01-04 21:00,0.040,3.756
2019-01-04 20:00,2019-01-04 22:00,0.095,4.739
2019-01-04 21:00,2019-01-04 23:00,0.210,6.089
2019-01-04 22:00,2019-01-05 00:00,0.252,6.478
2019-01-04 23:00,2019-01-05 01:00,0.328,7.133
2019-01-05 00:00,2019-01-05 02:00,0.446,8.053
2019-01-05 01:00,2019-01-05 03:00,0.492,8.407
2019-01-05 02:00,2019-01-05 04:00,0.465,8.205
2019-01-05 03:00,2019-01-05 05:00,0.421,7.866
2019-01-05 04:00,2019-01-05 06:00,0.480,8.316
2019-01-05 05:00,2019-01-05 07:00,0.490,8.396
2019-01-05 06:00,2019-01-05 08:00,0.441,8.017
2019-01-05 07:00,2019-01-05 09:00,0.502,8.485
2019-01-05 08:00,2019-01-05 10:00,0.521,8.636
2019-01-05 09:00,2019-01-05 11:00,0.552,8.879
2019-01-05 10:00,2019-01-05 12:00,0.592,9.197
2019-01-05 11:00,2019-01-05 13:00,0.587,9.148
2019-01-05 12:00,2019-01-05 14:00,0.610,9.343
2019-01-05 13:00,2019-01-05 15:00,0.670,9.863
2019-01-05 14:00,2019-01-05 16:00,0.722,10.347
2019-01-05 15:00,2019-01-05 17:00,0.736,10.502
2019-01-05 16:00,2019-01-05 18:00,0.727,10.396
2019-01-05 17:00,2019-01-05 19:00,0.526,8.669
2019-01-05 18:00,2019-01-05 20:00,0.270,6.648
2019-01-05 19:00,2019-01-05 21:00,0.146,5.411
2019-01-05 20:00,2019-01-05 22:00,0.068,4.309
2019-01-05 21:00,2019-01-05 23:00,0.036,3.647
2019-01-05 22:00,2019-01-06 00:00,0.024,3.313
2019-01-05 23:00,2019-01-06 01:00,0.027,3.414
2019-01-06 00:00,2019-01-06 02:00,0.045,3.852
2019-01-06 01:00,2019-01-06 03:00,0.068,4.298
2019-01-06 02:00,2019-01-06 04:00,0.094,4.725
2019-01-06 03:00,2019-01-06 05:00,0.090,4.654
2019-01-06 04:00,2019-01-06 06:00,0.074,4.399
2019-01-06 05:00,2019-01-06 07:00,0.054,4.034
2019-01-06 06:00,2019-01-06 08:00,0.042,3.801
2019-01-06 07:00,2019-01-06 09:00,0.035,3.618
2019-01-06 08:00,2019-01-06 10:00,0.033,3.569
2019-01-06 09:00,2019-01-06 11:00,0.037,3.684
2019-01-06 10:00,2019-01-06 12:00,0.040,3.755
2019-01-06 11:00,2019-01-06 13:00,0.047,3.903
2019-01-06 12:00,2019-01-06 14:00,0.063,4.218
2019-01-06 13:00,2019-01-06 15:00,0.097,4.767
2019-01-06 14:00,2019-01-06 16:00,0.149,5.443
2019-01-06 15:00,2019-01-06 17:00,0.205,6.040
2019-01-06 16:00,2019-01-06 18:00,0.245,6.415
2019-01-06 17:00,2019-01-06 19:00,0.263,6.579
2019-01-06 18:00,2019-01-06 20:00,0.188,5.873
2019-01-06 19:00,2019-01-06 21:00,0.118,5.053
2019-01-06 20:00,2019-01-06 22:00,0.098,4.778
2019-01-06 21:00,2019-01-06 23:00,0.120,5.084
2019-01-06 22:00,2019-01-07 00:00,0.140,5.329
2019-01-06 23:00,2019-01-07 01:00,0.133,5.253
2019-01-07 00:00,2019-01-07 02:00,0.112,4.974
2019-01-07 01:00,2019-01-07 03:00,0.094,4.723
2019-01-07 02:00,2019-01-07 04:00,0.089,4.638
2019-01-07 03:00,2019-01-07 05:00,0.091,4.682
2019-01-07 04:00,2019-01-07 06:00,0.080,4.500
2019-01-07 05:00,2019-01-07 07:00,0.065,4.257
2019-01-07 06:00,2019-01-07 08:00,0.071,4.355
2019-01-07 07:00,2019-01-07 09:00,0.068,4.314
2019-01-07 08:00,2019-01-07 10:00,0.037,3.681
2019-01-07 09:00,2019-01-07 11:00,0.013,2.905
2019-01-07 10:00,2019-01-07 12:00,0.003,2.151
2019-01-07 11:00,2019-01-07 13:00,0.008,2.629
2019-01-07 12:00,2019-01-07 14:00,0.015,2.974
2019-01-07 13:00,2019-01-07 15:00,0.025,3.335
2019-01-07 14:00,2019-01-07 16:00,0.155,5.514
2019-01-07 15:00,2019-01-07 17:00,0.266,6.604
2019-01-07 16:00,2019-01-07 18:00,0.320,7.069
2019-01-07 17:00,2019-01-07 19:00,0.274,6.675
2019-01-07 18:00,2019-01-07 20:00,0.267,6.615
2019-01-07 19:00,2019-01-07 21:00,0.250,6.460
2019-01-07 20:00,2019-01-07 22:00,0.203,6.010
2019-01-07 21:00,2019-01-07 23:00,0.163,5.605
2019-01-07 22:00,2019-01-08 00:00,0.095,4.742
2019-01-07 23:00,2019-01-08 01:00,0.024,3.311
2019-01-08 00:00,2019-01-08 02:00,0.008,2.635
2019-01-08 01:00,2019-01-08 03:00,0.037,3.663
2019-01-08 02:00,2019-01-08 04:00,0.093,4.716
2019-01-08 03:00,2019-01-08 05:00,0.115,5.023
2019-01-08 04:00,2019-01-08 06:00,0.133,5.249
2019-01-08 05:00,2019-01-08 07:00,0.159,5.549
2019-01-08 06:00,2019-01-08 08:00,0.140,5.326
